# region parcellated_structure_code r g b z1 z2 z3 z4 z5
#
# r g b          - RGB values of structure's color 
# z1 z2 z3 z4 z5 - structure measures (shown as heat maps in image) 

# Each region (except BSt) will have a left and right side

Fro TrFPoG/S 255 153 153 0.910094/0.1 0.265257/0.1 0.893188/0.1 0.220351 0.810623/0.1
Tem SupTGLp 153 51 255 0.760749 0.0413186 0.960491 0.327871 0.10519
Tem HG 102 0 102 0.735123 0.609626 0.561885 0.552245 0.209205
Tem ATrCoS 153 0 204 0.70265 0.250886 0.488021 0.259866 0.559397
Tem TrTS 255 153 255 0.718632 0.449855 0.64701 0.120721 0.705432
Tem MTG 255 102 204 0.0445171 0.903383 0.84918 0.248867 0.0782337
Tem TPl 153 0 153 0.594179 0.79521 0.117217 0.453389 0.51053
Tem InfTG 255 0 255 0.0240753 0.461075 0.335465 0.979403 0.196197
Tem InfTS 204 0 153 0.497344 0.392218 0.23142 0.869115 0.274211
Tem SupTS 204 51 255 0.345444 0.768428 0.777465 0.385664 0.638602

Par PosCG 204 255 204 0.572447 0.550825 0.0210396 0.703384 0.0398718
Par SuMarG 204 255 102 0.505481 0.355941 0.632427 0.234695 0.467251
Par PaCL/S 204 255 153 0.941625 0.0774716 0.836466 0.21416 0.0777565
Par PosCS 153 255 0 0.371851 0.0175735 0.652846 0.21397 0.0381004
Par JS 153 204 0 0.417268 0.367931 0.275164 0.698362 0.160044
Par SbPS 102 153 0 0.342959 0.287187 0.0415765 0.802325 0.397832
Par IntPS/TrPS 51 255 51 0.843644 0.804135 0.132005 0.867128 0.688898
Par SupPL 153 255 153 0.476754 0.0386389 0.590884 0.293534 0.534712
Par PrCun 204 255 0 0.54442 0.032441 0.292307 0.010939 0.68692
Par AngG 0 255 0 0.460794 0.107803 0.228524 0.273041 0.272457
Par POcS 204 255 51 0.176424 0.0256045 0.274471 0.86865 0.465933

Occ PaHipG 204 204 255 0.719617 0.0550814 0.0344843 0.531828 0.450086
Occ CoS/LinS 153 204 255 0.924046 0.155466 0.0245813 0.370025 0.935069
Occ LOcTS 153 153 255 0.138454 0.915918 0.301583 0.614793 0.0869318
Occ FuG 102 102 255 0.276712 0.191446 0.517457 0.0899034 0.453889
Occ CcS 102 153 255 0.640728 0.661768 0.365152 0.870633 0.945625
Occ LinG 102 204 255 0.226574 0.859001 0.0936968 0.035322 0.855719
Occ AOcS 51 51 255 0.112794 0.949259 0.163419 0.53527 0.120976
Occ InfOcG/S 51 153 255 0.552844 0.20569 0.41966 0.836928 0.0141639
Occ SupOcS/TrOcS 0 102 255 0.20486 0.480023 0.178386 0.521344 0.234515
Occ PosTrCoS 51 102 255 0.808531 0.850107 0.652433 0.496077 0.866313
Occ Cun 0 153 255 0.300211 0.432217 0.299345 0.776098 0.43739
Occ MOcG 0 204 244 0.814737 0.405621 0.699155 0.243576 0.769548
Occ MOcS/LuS 0 51 255 0.276017 0.568324 0.579263 0.0400565 0.874003
Occ SupOcG 0 0 255 0.14786 0.376384 0.649425 0.825849 0.376934
Occ OcPo 0 0 153 0.851454 0.125925 0.994575 0.658435 0.944328

SbC Pu 32 32 32 0.707218 0.741702 0.27353 0.197576 0.838634
SbC Pal 64 64 64 0.353042 0.377624 0.747649 0.886102 0.946656
SbC CaN 96 96 96 0.802021 0.103603 0.718396 0.995109 0.586052
SbC NAcc 128 128 128 0.186555 0.704011 0.793915 0.434643 0.599163
SbC Amg 159 159 159 0.0964105 0.461562 0.332195 0.558769 0.319347
SbC Tha 191 191 191 0.417771 0.511468 0.54679 0.659583 0.421162
SbC Hip 223 223 223 0.608842 0.772261 0.307531 0.860375 0.904107

CeB CeB 255 64 0 0.00753681 0.185922 0.707266 0.515797 0.835159

# By design, brain stem region (BSt) does not have a L/R side

BSt BSt 207 255 48 0.246842 0.546186 0.322285 0.137021 0.491837
